日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2021-12-07,10:00:00,股票,三变科技(002112.XSHE),买,市价单,8300股,7.28,60424,8300股,-,0,15.11,全部成交,2021-12-07 10:00:00
2021-12-14,10:00:00,股票,天顺股份(002800.XSHE),卖,市价单,-4000股,14.96,-59840,-4000股,-,4160,74.8,全部成交,2021-12-14 10:00:00
2021-12-16,14:00:00,股票,三变科技(002112.XSHE),卖,市价单,-8300股,8.28,-68724,-8300股,-,8300,85.9,全部成交,2021-12-16 14:00:00
2021-12-21,10:00:00,股票,实丰文化(002862.XSHE),买,市价单,3100股,13.47,41757,3100股,-,0,10.44,全部成交,2021-12-21 10:00:00
2021-12-21,10:00:00,股票,友邦吊顶(002718.XSHE),买,市价单,3400股,12.56,42704,3400股,-,0,10.68,全部成交,2021-12-21 10:00:00
2021-12-21,10:00:00,股票,恒大高新(002591.XSHE),买,市价单,7600股,5.6,42560,7600股,-,0,10.64,全部成交,2021-12-21 10:00:00
2021-12-28,10:00:00,股票,友邦吊顶(002718.XSHE),卖,市价单,-3400股,12.65,-43010,-3400股,-,306,53.76,全部成交,2021-12-28 10:00:00
2021-12-28,10:00:00,股票,恒大高新(002591.XSHE),卖,市价单,-7600股,5.46,-41496,-7600股,-,-1064,51.87,全部成交,2021-12-28 10:00:00
2021-12-28,10:00:00,股票,三变科技(002112.XSHE),买,市价单,10900股,7.92,86328,10900股,-,0,21.58,全部成交,2021-12-28 10:00:00
2021-12-31,14:00:00,股票,中设股份(002883.XSHE),卖,市价单,-4400股,12.75,-56100,-4400股,-,10912,70.12,全部成交,2021-12-31 14:00:00
2022-01-04,14:50:00,股票,名雕股份(002830.XSHE),卖,市价单,-5300股,10.93,-57929,-5300股,-,9699,72.41,全部成交,2022-01-04 14:50:00
2022-01-04,14:50:00,股票,实丰文化(002862.XSHE),卖,市价单,-3100股,14.28,-44268,-3100股,-,2511,55.34,全部成交,2022-01-04 14:50:00
2022-01-04,14:50:00,股票,三变科技(002112.XSHE),卖,市价单,-10900股,8.27,-90143,-10900股,-,3815,112.68,全部成交,2022-01-04 14:50:00
2022-01-05,10:00:00,基金,银华日利(511880.XSHG),买,市价单,2400股,100.115,240276,2400股,-,0,0,全部成交,2022-01-05 10:00:00
2022-02-08,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-2400股,100.353,-240847.2,-2400股,-,571.2,0,全部成交,2022-02-08 10:00:00
2022-02-08,10:00:00,股票,名雕股份(002830.XSHE),买,市价单,4600股,10.61,48806,4600股,-,0,12.2,全部成交,2022-02-08 10:00:00
2022-02-08,10:00:00,股票,中设股份(002883.XSHE),买,市价单,4100股,11.96,49036,4100股,-,0,12.26,全部成交,2022-02-08 10:00:00
2022-02-08,10:00:00,股票,三变科技(002112.XSHE),买,市价单,6500股,7.62,49530,6500股,-,0,12.38,全部成交,2022-02-08 10:00:00
