symbol,buy_date,buy_time,buy_price,sell_time,sell_price,profit_pct,sell_reason
603729.SH,2024-02-27,2024-02-27 09:31,22.29,2024-02-28 11:28,22.49,0.8973,T+1上午盈利卖出
603755.SH,2022-04-22,2022-04-22 09:31,37.0,2022-04-25 14:50,36.0,-2.7027,T+1尾盘清仓
603778.SH,2026-03-04,2026-03-04 09:31,15.09,2026-03-05 11:28,15.69,3.9761,T+1上午盈利卖出
603856.SH,2022-04-25,2022-04-25 09:31,11.27,2022-04-26 11:28,12.89,14.3744,T+1上午盈利卖出
603860.SH,2024-02-20,2024-02-20 09:31,24.7,2024-02-21 11:28,26.07,5.5466,T+1上午盈利卖出
603900.SH,2022-05-10,2022-05-10 09:31,6.56,2022-05-11 11:28,6.68,1.8293,T+1上午盈利卖出
603918.SH,2022-05-19,2022-05-19 09:31,7.1,2022-05-20 11:28,7.43,4.6479,T+1上午盈利卖出
605086.SH,2025-01-21,2025-01-21 09:31,30.4,2025-01-22 14:50,29.59,-2.6645,T+1尾盘清仓
605133.SH,2022-09-21,2022-09-21 09:31,29.38,2022-09-22 11:28,30.33,3.2335,T+1上午盈利卖出
605199.SH,2025-03-17,2025-03-17 09:31,16.88,2025-03-18 11:28,16.9,0.1185,T+1上午盈利卖出
605588.SH,2023-10-30,2023-10-30 09:31,56.0,2023-10-31 14:50,55.6,-0.7143,T+1尾盘清仓
605588.SH,2025-01-20,2025-01-20 09:31,42.8,2025-01-21 11:28,42.83,0.0701,T+1上午盈利卖出
