symbol,buy_date,buy_price,sell_date,sell_price,profit_pct,sell_reason
603728.SH,2024-02-21,41.5,2024-02-22,42.67,2.8193,T+1开盘卖出(盈利)
603729.SH,2024-02-27,22.29,2024-02-28,23.6,5.8771,T+1开盘卖出(盈利)
603755.SH,2022-04-22,37.0,2022-04-25,36.0,-2.7027,T+1收盘卖出
603778.SH,2026-03-04,14.95,2026-03-05,16.1,7.6923,T+1开盘卖出(盈利)
603856.SH,2022-04-25,11.27,2022-04-26,13.0,15.3505,T+1开盘卖出(盈利)
603860.SH,2024-02-20,24.7,2024-02-21,25.41,2.8745,T+1开盘卖出(盈利)
603900.SH,2022-05-10,6.56,2022-05-11,6.7,2.1341,T+1开盘卖出(盈利)
603918.SH,2022-05-19,7.1,2022-05-20,7.27,2.3944,T+1开盘卖出(盈利)
605086.SH,2025-01-21,30.4,2025-01-22,30.54,0.4605,T+1开盘卖出(盈利)
605133.SH,2022-09-21,29.38,2022-09-22,30.1,2.4506,T+1开盘卖出(盈利)
605199.SH,2025-03-17,16.88,2025-03-18,17.1,1.3033,T+1开盘卖出(盈利)
605588.SH,2023-10-30,56.0,2023-10-31,55.41,-1.0536,T+1收盘卖出
605588.SH,2025-01-20,42.8,2025-01-21,43.0,0.4673,T+1开盘卖出(盈利)
