日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2022-05-19,09:30:00,股票,中兴商业(000715.XSHE),买,市价单,15800股,6.27,99066,15800股,-,0,29.72,全部成交,2022-05-19 09:30:00
2022-05-19,09:30:00,股票,美邦服饰(002269.XSHE),买,市价单,52300股,1.89,98847,52300股,-,0,29.65,全部成交,2022-05-19 09:30:00
2022-05-19,09:30:00,股票,科士达(002518.XSHE),买,市价单,5400股,18.02,97308,5400股,-,0,29.19,全部成交,2022-05-19 09:30:00
2022-05-19,09:30:00,股票,美格智能(002881.XSHE),买,市价单,2900股,34.05,98745,2900股,-,0,29.62,全部成交,2022-05-19 09:30:00
2022-05-19,09:30:00,股票,金桥信息(603918.XSHG),买,市价单,13900股,7.11,98829,13900股,-,0,29.65,全部成交,2022-05-19 09:30:00
2022-05-20,11:28:00,股票,美邦服饰(002269.XSHE),卖,市价单,-52300股,1.97,-103031,-52300股,-,4184,133.94,全部成交,2022-05-20 11:28:00
2022-05-20,11:28:00,股票,科士达(002518.XSHE),卖,市价单,-5400股,20.98,-113292,-5400股,-,15984,147.28,全部成交,2022-05-20 11:28:00
2022-05-20,11:28:00,股票,美格智能(002881.XSHE),卖,市价单,-2900股,36.02,-104458,-2900股,-,5713,135.8,全部成交,2022-05-20 11:28:00
2022-05-20,11:28:00,股票,金桥信息(603918.XSHG),卖,市价单,-13900股,7.42,-103138,-13900股,-,4309,134.08,全部成交,2022-05-20 11:28:00
2022-05-20,14:50:00,股票,中兴商业(000715.XSHE),卖,市价单,-15800股,6.12,-96696,-15800股,-,-2370,125.7,全部成交,2022-05-20 14:50:00
2022-05-23,09:30:00,股票,华海药业(600521.XSHG),买,市价单,26000股,20.03,520780,26000股,-,0,156.23,全部成交,2022-05-23 09:30:00
2022-05-24,14:50:00,股票,华海药业(600521.XSHG),卖,市价单,-26000股,19.49,-506740,-26000股,-,-14040,658.76,全部成交,2022-05-24 14:50:00
2022-05-26,09:30:00,股票,惠发食品(603536.XSHG),买,市价单,48900股,10.37,507093,48900股,-,0,152.13,全部成交,2022-05-26 09:30:00
2022-05-27,14:50:00,股票,惠发食品(603536.XSHG),卖,市价单,-48900股,9.88,-483132,-48900股,-,-23961,628.07,全部成交,2022-05-27 14:50:00
2022-08-17,09:30:00,股票,安凯客车(000868.XSHE),买,市价单,79200股,6.09,482328,79200股,-,0,144.7,全部成交,2022-08-17 09:30:00
2022-08-18,11:28:00,股票,安凯客车(000868.XSHE),卖,市价单,-79200股,6.16,-487872,-79200股,-,5544,634.23,全部成交,2022-08-18 11:28:00
